"","emd","구분","대여소번호","대여소명","대여소.주소","거치대수","lat","lon","population","school","subway","culture","travel","han_river"
"1","등촌3동","송파구","1253","오금역 3번 출구 뒤","서울특별시  송파구 가락동 10-15 오금역 3번 출구 뒤",10,37.560624,126.854833,"34325",4,1,7,2,995.961353549478
"2","가락2동","송파구","2617","가락삼환아파트 앞","서울특별시 송파구 오금로 지하 402가락삼환아파트 앞",15,37.496181,127.138031,"33563",3,0,2,3,4392.12009544501
"3","가락2동","송파구","1258","가락미륭아파트 앞","서울특별시 서울 송파구 가락동 195-4가락미륭아파트 앞",10,37.493198,127.128998,"33563",0,0,1,2,4067.31815724206
"4","가락2동","송파구","1230","송파중학교 정문","서울특별시 송파구 동남로 203송파구 가락동 195-1",10,37.49567,127.130592,"33563",3,0,2,2,3952.87412731438
"5","가락본동","송파구","1203","밀리아나2빌딩 앞","서울특별시 송파구 송파대로28길 24송파구 가락동 100-2",20,37.493729,127.120621,"27454",0,0,3,1,3594.7075490105
"6","가락본동","송파구","1201","가락시장역 3번 출구","서울특별시 송파구 송파대로 지하 257송파구 가락동 214-3",10,37.493179,127.118546,"27454",0,2,4,1,3559.2666208292
"7","가리봉동","구로구","1924","삼부르네상스파크빌","서울특별시 구로구 남부순환로 1299구로구 가리봉동 127-30",10,37.478741,126.895096,"19330",2,0,6,4,4930.22423377095
"8","가산동","금천구","1805","서울디지털운동장 앞","서울특별시 금천구 가산디지털2로 151가산동 459-16",10,37.482288,126.877769,"23893",0,0,4,6,5447.31459383016
"9","가산동","금천구","1812","갑을그레이트밸리 앞","서울특별시 금천구 디지털로9길 32가산동 60-35",10,37.479031,126.887299,"23893",0,0,4,5,5231.81695127999
"10","가산동","금천구","1814","두산위브아파트 옆 상가건물 앞","서울특별시 금천구 가산로 99가산동 153-16",8,37.47422,126.894127,"23893",1,0,8,2,5424.05692006447
"11","가산동","금천구","1849","대륭포스트타워5차","서울특별시 금천구 디지털로9길 68대륭포스트타워5차",10,37.481354,126.88694,"23893",0,0,5,4,5032.18761225346
"12","가산동","금천구","1804","독산역 2번출구 자전거주차장","서울특별시 금천구 벚꽃로 115가산동 680-2 독산역 2번출구 뒤편 자전거 주차장",10,37.46653,126.888718,"23893",1,1,7,1,6400.58538224351
"13","가산동","금천구","1835","STX V타워","서울특별시 금천구 가산디지털1로 128가산동 371-37",10,37.47707,126.88443,"23893",0,0,5,5,5552.24587454292
"14","가산동","금천구","1834","월드메르디앙 벤처센터 2차","서울특별시 금천구 가산디지털2로 123가산동 450-2",15,37.479084,126.879044,"23893",0,0,7,5,5648.20062564474
"15","가산동","금천구","1839","수출의 다리 아래","서울특별시 가산동 60-35수출의 다리 아래",20,37.477058,126.885185,"23893",0,0,5,5,5517.24607469477
"16","가산동","금천구","1809","LG전자 별관동(호서대 벤처타워 맞은편)","서울특별시 금천구 가산디지털1로 63가산동 319-11",10,37.470779,126.885155,"23893",0,0,7,3,6119.59483765572
"17","가산동","금천구","1841","가산동 주민센터","서울특별시 가산동 144-3가산동 주민센터",10,37.476952,126.891869,"23893",0,0,9,3,5234.2944062433
